Timestamp,Digit,Stake,Outcome,Profit
Sat May 24 14:34:05 2025,2,500,loss,-500
Sat May 24 14:34:07 2025,2,500,loss,-500
Sat May 24 14:34:08 2025,2,500,pending,0
Sat May 24 14:34:08 2025,2,500,pending,0
Sat May 24 14:34:09 2025,2,500,pending,0
Sat May 24 14:34:15 2025,2,500,loss,-500
Sat May 24 14:34:15 2025,2,500,loss,-500
Sat May 24 14:34:17 2025,2,500,loss,-500
Sat May 24 14:39:33 2025,3,500,pending,0
Sat May 24 14:39:33 2025,3,500,pending,0
Sat May 24 14:39:34 2025,3,500,pending,0
Sat May 24 14:39:41 2025,3,500,loss,-500
Sat May 24 14:39:41 2025,3,500,loss,-500
Sat May 24 14:39:41 2025,3,500,loss,-500
Sat May 24 14:39:44 2025,6,500,pending,0
Sat May 24 14:39:44 2025,6,500,pending,0
Sat May 24 14:39:45 2025,6,500,pending,0
Sat May 24 14:39:51 2025,6,500,loss,-500
Sat May 24 14:39:51 2025,6,500,loss,-500
Sat May 24 14:39:53 2025,6,500,loss,-500
Sat May 24 14:43:06 2025,7,500,pending,0
Sat May 24 14:43:06 2025,7,500,pending,0
Sat May 24 14:43:07 2025,7,500,pending,0
Sat May 24 14:43:13 2025,7,500,win,3948.05
Sat May 24 14:43:13 2025,7,500,win,3948.05
Sat May 24 14:43:15 2025,7,500,loss,-500
Sat May 24 14:43:17 2025,7,500,pending,0
Sat May 24 14:43:17 2025,7,500,pending,0
Sat May 24 14:43:17 2025,7,500,pending,0
Sat May 24 14:43:23 2025,7,500,loss,-500
Sat May 24 14:43:23 2025,7,500,loss,-500
Sat May 24 14:43:25 2025,7,500,loss,-500
Sat May 24 14:43:27 2025,7,500,pending,0
Sat May 24 14:43:27 2025,7,500,pending,0
Sat May 24 14:43:28 2025,7,500,pending,0
Sat May 24 14:43:35 2025,7,500,loss,-500
Sat May 24 14:43:35 2025,7,500,loss,-500
Sat May 24 14:43:35 2025,7,500,win,3948.05
Sat May 24 14:44:00 2025,7,500,pending,0
Sat May 24 14:44:00 2025,7,500,pending,0
Sat May 24 14:44:01 2025,7,500,pending,0
Sat May 24 14:44:07 2025,7,500,loss,-500
Sat May 24 14:44:07 2025,7,500,loss,-500
Sat May 24 14:44:09 2025,7,500,loss,-500
Sat May 24 14:44:10 2025,7,500,pending,0
Sat May 24 14:44:10 2025,7,500,pending,0
Sat May 24 14:44:11 2025,7,500,pending,0
Sat May 24 14:44:17 2025,7,500,loss,-500
Sat May 24 14:44:17 2025,7,500,loss,-500
Sat May 24 14:44:19 2025,7,500,loss,-500
2025-05-24 14:47:57,2,500,pending,0
2025-05-24 14:47:57,2,500,pending,0
2025-05-24 14:47:58,2,500,pending,0
